那是我的台词！	That's MY line!
星期一你必須繳交報告。	You have to turn in the reports on Monday.
你應該光榮地辭職。	You should do the honorable thing and resign.
你怎麼解釋你缺席的原因？	How do you account for your absence?
你需要可以幫助你的朋友。	You need to have friends who can help you out.
你的理論是以什麼為基礎?	What do you base your theory on?
你做你的部份, 其他的我來做。	You do your part and I'll do the rest.
你應該努力去戒煙。	You should make an effort to stop smoking.
當你值勤時最好不要抽煙。	You had better not smoke while on duty.
你知道Rie Miyazawa是誰嗎?	Do you know who Rie Miyazawa is?
你進入了危險區。	You're stepping into dangerous territory.
你看上去很苍白。你最好立刻去床上躺会儿。	You look pale. You had better lie down in bed at once.
你讀過任何一首中國詩詞嗎?	Have you ever read any Chinese poems?
你只不過是一個學生。	You are nothing but a student.
你在學校裡讀哪些科目?	What subjects are you taking at school?
你似乎對來自國外的想法有偏見。	You seem to be prejudiced against ideas that come from foreign countries.
你幾年級？	What grade are you in?
你幾點值班?	What time are you going on duty?
你想做什麼?	What do you intend to do?
什麼吵醒你了?	What woke you up?
你已經辛苦地工作好幾個月了, 當然可以休假。	You've worked hard for months and have certainly earned a holiday.
我懷疑你是否有東西可寫。	I wonder if you have something to write with.
你缺乏衝勁。	You don't have enough push.
所有您必須要做的事就是努力地學好英語。	All you have to do is to try hard to master English.
別人聽得懂你說的英語嗎?	Can you make yourself understood in English?
你會游泳, 不是嗎？	You can swim, can't you?
你會游泳嗎?	Can you swim?
你其實有沒有看過？	Did you read it at all?
你應該在天黑之前回家。	You should return home before it gets dark.
你應該知道的。	You should know better.
你的鉛筆差點戳到我的眼睛了。	You nearly poked me in the eye with your pencil.
你最好在這裡待久一點。	You had better stay here a little longer.
你做完回家作業了嗎?	Have you finished doing your homework yet?
你讀完那本書了嗎?	Have you finished reading that book yet?
你又犯了相同的錯誤。	You have made the very same mistake again.
你会说法语吗？	Can you speak French?
你應該每天練習拉小提琴。	You should practice playing the violin every day.
我打了電話給你，但卻接不通。	I tried to reach you on the phone, but I was unable to get through.
你真粗魯！	How rude of you!
你為什麼不能來?	Why can't you come?
為什麼你不能早點來?	What prevented you from coming earlier?
你屬於哪個社團?	Which club do you belong to?
你想睡哪張床?	Which bed do you want to use?
你在哪裡唸高中?	Where do you attend high school?
你為什麼說了這樣的事?	Why did you say such a thing?
是什么风把你吹来了啊？	What has brought you here?
你吸太多煙了。你應該少抽一點。	You smoke far too much. You should cut back.
你可能認為那些鞋子很時髦, 但是他們不是。	You may think those shoes are in fashion, but they aren't.
你不必擔心這樣的事情。	You don't need to worry about such a thing.
你夠大了知道不要那樣做。	You are old enough to know better than to act like that.
你把它給誰了?	Who did you give it to?
你做完了嗎?	Have you finished it?
你有嗎？	Do you have one?
你會希望你從來沒有看過它。	You will wish you had never seen it.
你應該早點做的。現在沒人可以幫你。	You should have done it earlier. It cannot be helped now.
你將無法趕上火車。	You will not be able to catch the train.
你應該向那個女孩自我介紹的。	You should have introduced yourself to the girl.
在你這個年紀你應該要更懂事。	You ought to know better at your age.
你否認你去了那裡嗎?	Do you deny that you went there?
很久以前你就應該告訴我的。	You should have told me a long time ago.
你膽子很大。	You've got a lot of guts.
你最好立刻剪頭髮。	You'd better have your hair cut at once.
你很快就會習慣住在這裡。	You will soon get accustomed to living here.
你很快就會相信我是對的了。	You will soon be convinced I am right.
你最好立刻去看你的家庭醫生。	You'd better go to see your family doctor at once.
你可能誤認珍為他的妹妹。	You may have mistaken Jane for his sister.
這是你自己做的嗎?	Did you do this on your own?
你必须把无视这些声音。	You have to put up with all these noises.
你必须忍受这一切的噪音了。	You have to put up with all this noise.
你必須在後天以前完成回家作業。	You must get this homework finished by the day after tomorrow.
你會讀這個漢字嗎？	Can you read this kanji?
你很快就會習慣這種冷天氣。	You'll soon get accustomed to this cold weather.
用這些錢你怎麼來的?	How did you come by this money?
你在這裏簽個名就行了。	All you have to do is sign your name here.
你最好立刻離開這裡。	You had better get away from here at once.
你必須用功讀書趕上同學。	You have to study hard to catch up with your class.
你來自加拿大的哪裡?	Where are you from in Canada?
你應該問你父親的忠告並遵守它。	You should ask your father for his advice and follow it.
你應該為你沒有及時回家吃晚餐向你父親道歉。	You should apologize to Dad for not coming home in time for supper.
你不快樂嗎?	Aren't you happy?
你何時來日本的?	When did you come to Japan?
你什麼時候有空?	When will you be free?
你總是在抱怨。	You are always complaining.
你到底在談什麼?	What on earth are you talking about?
在這麼長程的旅途後你一定很累了。	You must be tired after such a long trip.
你不應該對你父母那樣頂嘴。	You shouldn't talk back to your parents like that.
你不應該吃這麼多冰淇淋。	You shouldn't have eaten so much ice cream.
但願你那時候就告訴我真相。	I wish you had told me the truth then.
五點以前你必須在車站。	You must be at the station by 5 o'clock.
你看上去就像是三十年前你父親的樣子。	You look the way your father did thirty years ago.
幾天之後你就可以開車了。	You will able to drive a car in a few days.
你故意犯這個錯, 是嗎?	You made the mistake on purpose, didn't you?
你不妨告訴我一切。	You may as well tell me all about it.
请继续说下去。	Please go on with your story.
我佩服你的勇氣。	I admire your courage.
你有一雙可愛的眼睛，不是嗎?	You have lovely eyes, don't you?
你的真正目的是甚麼？	What's your real purpose?
看見你笑，我就會高興起來。	Your smile always makes me happy.
該你走了。	It's your move.
你的答案不對。再試試看。	Your answer isn't correct. Try again.
我不明白你想說甚麼。	I don't understand what you're trying to say.
可以借你的電話用用嗎？	May I use your phone?
如果沒有你的忠告，我大概已經失敗了吧。	If it had not been for your advice, I would have failed.
管好你自己的事吧。	Mind your own business!
你只能怪責自己。	You have no one but yourself to blame.
我喜歡你笑得樣子。	I like the way you smile.
在這裡寫下你的地址。	Write your address here.
我會想念你的廚藝。	I'll miss your cooking.
你的手乾淨嗎?	Are your hands clean?
你的手錶準不準？	Is your watch correct?
你的東西在哪裡?	Where are your things?
順著你的感覺走吧！	Just follow your heart.
你的文章寫得很好，但卻有很多字拼錯了。	Your composition was good except for the spelling.
你的行为离要求的太远了。	Your behavior leaves much to be desired.
選擇你喜歡的球拍。	Choose your favorite racket.
你想怎么做就怎么做。	Do as you like.
做出您的選擇。	Make your choice.
我对你的厚颜无耻感到惊讶。	I am amazed at your audacity.
我贊成你的說法。	I think you're right.
你的言行必须一致。	Your words must correspond with your actions.
你的鞋子和衣服不合襯。	Your shoes do not go with the suit.
我認為你的基本理論是錯的。	I think your basic theory is wrong.
你的學校在哪裏？	Where is your school?
你的學校有多少個學生？	How many pupils are there in your school?
從學校回來的路上讓我們來討論你的愛情問題。	Let's discuss your love problems on the way back from school.
你的英語正在進步。	Your English is improving.
我想要聽聽你的意見。	I want your opinion.
你的方法和我的不一樣。	Your method is different from mine.
你的時間到了。	Your time is up.
你的計劃聽起來很不錯。	Your plan sounds great.
你班裏有多少人？	How many are there in your class?
你的照相機只有我那台的一半大小。	Your camera is only half the size of mine.
你的袋子在這裡。	Here is your bag.
我不明白你的意思是甚麼。	I have no idea what you mean.
我同情你。	I feel for you.
我正想打電話給你，你的電報就送來了。	Your telegram arrived just as I was about to telephone you.
我永遠不會忘記和你的見面。	I will never forget seeing you.
你讓我感到很內疚。	You make me feel so guilty.
你應該得到這個獎金。	You deserve the prize.
我請你。	I'll treat you.
我欠你一千円。	A thousand yen is due to you.
只有如果我說英語能說得跟你一樣流利的話!	If only I could speak English as fluently as you!
我很想跟你一起去, 但重點是我不能去。	I'd like to go with you, but as it is I can't.
我想和你單獨談談。	I would prefer to speak to you in private.
你真的是一點希望也沒有。	You really are hopeless.
你最好不要在他們來之前開始。	You had better not start until they arrive.
比較一下你寫的句子和黑板上的句子。	Compare your sentence with the one on the blackboard.
不只是你，就連我也該受責難。	Not only you but also I am to blame.
只有你回答了这个问题。	Only you answered the question.
既然你在這裡, 那我們就開始吧。	As long as you are here, we might as well begin.
很遺憾你不相信我。	That you don't believe me is a great pity.
你給我的資料沒有多大的用處。	The information you gave me is of little use.
他知道你愛他嗎?	Does he know that you love him?
你真笨去接受他的提議。	It was foolish of you to accept his offer.
我不能讓你和他出去。	I cannot approve of your going out with him.
你们俩都不傻。	He is no more foolish than you are.
當你打電話來時, 我們正在談論你。	We were just talking about you when you called.
你走了他才來。	He came after you left.
因為你不夠努力，所以才會失敗。	The reason why you failed is you did not try hard enough.
你應該自己跟老師說。	You should talk to the teacher yourself.
我愛你多於你愛我。	I love you more than you love me.
如果您同意, 我想給他這份工作。	With your approval, I would like to offer him the job.
一定要熄了火，然后再离开。	Be sure to put out the fire before you leave.
你打來的時候我正準備出門。	I was about to leave when you telephoned.
算一算你花了多少錢買書。	Try to estimate how much you spent on books.
你一定會後悔的。	The time will come when you will be sorry for it.
我不怪你。	I don't blame you.
我們會按照你的工作量付錢給你。	We will pay you according to the amount of work you do.
這個週末去紐約對你來說是不可能的事。	It is out of the question for you to go to New York this weekend.
我很掛念你。	I miss you very much.
这儿有你的一封信。	Here is a letter for you.
你看過富士山嗎? 它美得無法形容。	Have you ever seen Mt. Fuji? It is beautiful beyond description.
你不了解。	You don't understand.
熊為了找肥蟲，把所有石子都翻過了。	The bear left no stone unturned in his search for fat bugs under the rocks.
請脫下你的襪子。	Take off your socks, please.
我偶然發現了那本書。	I found the book by accident.
偶数乘以奇数是偶数，奇数乘以奇数是奇数。	Even times odd is even, odd times odd is odd.
天空风云骤起。	The sky looks angry.
饑餓是最好的調味品。	Hunger is the best sauce.
他剛剛才吃完午飯，不可能會肚子餓。	He cannot be hungry; he has just had lunch.
到机场有多远？	How far is it to the airport?
我陪你去機場吧。	I'll accompany you to the airport.
到机场去的汽车在哪里可上？	Where do I get an airport bus?
乘机场大巴去机场要多久？	How long does the airport bus take to the airport?
我要去機場迎接我的家人。	I have to go to the airport to meet my family.
請於五點鐘到機場接我。	Please pick me up at the airport at five.
空氣是由許多種氣體組成的混合物。	Air is a mixture of various gases.
沒有空氣和水，人類就無法生存。	Both air and water are indispensable for life.
月球表面沒有空氣，所以沒有風，也沒有聲音。	Without air there can be no wind or sound on the moon.
天空中繁星点点。	The sky is full of stars.
天空被焰火点亮。	The sky was ablazed with fireworks.
天空飘的云很美。	The clouds floating in the sky are beautiful.
天上萬里無雲。	Not a cloud was to be seen in the sky.
空中有一大片乌云。	There is a mass of dark clouds in the sky.
天空逐漸變得烏雲密佈。	The sky has gradually clouded over.
蠢人一下子就把箭射完。	A fool's bolt is soon shot.
你愚蠢地行事，你会付出代价。	You've acted foolishly and you will pay for it.
一分耕耘，一分收穫。	No pain, no gain.
沒有困難就沒有成功。	No cross, no crown.
苦盡甘来。	No sweet without sweat.
搶劫銀行的後果就是在監獄裏蹲十年。	Bank robbery will cost you ten years in prison.
我在银行附近碰见老朋友。	I ran across an old friend near the bank.
我需要星期五之前知道你的答案。	I need to know your answer by Friday.
他們星期五每晚都去喝酒。	Every Friday night they went and got liquored up.
金錢是一切罪惡之源。	Money is the root of all evil.
健康勝過財富。	Health is better than wealth.
錢不會從樹上長出來。	Money does not grow on trees.
人為財死，鳥為食亡。	Money ruins many.
那些錢藏了在地板下面。	The money was hidden beneath the floorboards.
金的顏色和黃銅很相似。	Gold is similar in color to brass.
我覺得我沒錢了。	I feel the want of money.
一部分的錢被偷走了。	Some of the money was stolen.
走捷徑。	Take a short cut.
最近频繁的地震让我们很焦虑。	The recent frequency of earthquakes makes us nervous.
在不久的将来，可能有一场大地震将在日本发生。	In the near future, we may have a big earthquake in Japan.
在不久的將來這些問題都會迎刃而解。	These problems will be solved in the near future.
在緊急情況下，可撥打 119。	In case of emergency, call 119.
在緊急情況下，打電話報警。	In case of emergency, call the police.
当工作时间被延长时，工人们忍不住开口抱怨起来。	The workers complained when their working hours were extended.
她的努力和生意頭腦讓她成為了一個富翁。	She became rich by virtue of hard work and good business sense.
奇怪的是，村子裏竟然一個人也沒有。	To my surprise, there were no people in the village.
那是一個叫人心碎的故事。	It was a heartbreaking story.
我的駕駛導師說我應該耐心一點。	My driving instructor says I should be more patient.
不要在課室內談話。	Don't you talk in the classroom.
老师应该一视同仁地对待他们的学生。	Teachers should treat all their students without partiality.
千萬不要忘記帶教科書。	You must not forget your schoolbooks.
很多人覺得有教才有學，但其實這個觀念是錯的。	One of the great superstitions about education is that learning is the result of teaching.
更多投資在教育的錢將會刺激經濟成長。	More money for education will spur economic growth.
被害人被勒索支付封口費已經很多年, 但現在他意識到這樣做是愚蠢的, 而且他已經決定再也不付一毛錢了。	The victim of blackmail has been paying hush money for years, but now he realizes it is foolish, and he has decided not to pay a red cent more.
警方根據現場遺下的證物把賊子找了出來。	The burglar was traced by one of the things he had left on the scene.
叫聲漸漸地變弱了。	The sound of shouting grew faint.
共產主義是在蘇聯被實行的制度。	Communism is the system practiced in the Soviet Union.
京都值得游览。	Kyoto is worth visiting.
京都以古廟有名。	Kyoto is famous for its old temples.
京都依賴旅遊業。	Kyoto depends on the tourist industry.
恭子正躺在草地上。	Kyoko is lying on the grass.
這條河裏已經沒有魚了。	Fish have ceased to live in this river.
去年冬天下了好多雪。	There was a lot of snow last winter.
我永遠不會忘記去年夏天到訪巴黎的經歷。	I'll never forget visiting Paris last summer.
我去年夏天到訪的是一個位於長野縣的小村落。	The village which I visited last summer was a small one in Nagano Prefecture.
就在去年我們有了一個孩子。	We had a kid just last year.
久了不見，便會逐漸淡忘。分開以後，也就自然不會再聯絡了。	Out of sight out of mind. When you're separated you lose touch.
牛群在鬱鬱蔥蔥的草地上緩緩移動著。	The cows were moving very slowly through the long, green grass.
我踫見了一個老朋友。	I ran into an old friend.
我一收到錢就馬上還給你。	As soon as I get paid I will pay you back.
窮鼠囓狸。	A cornered rat will bite a cat.
救助人员将为地震受灾者提供资助。	The rescue workers are going to hand out supplies to the victims of the earthquake.
你需要救護車嗎?	Do you need an ambulance?
快点儿，不然你就要迟到了。	Hurry up, or you'll be late.
有足夠的時間很快地吃一下點心。	There's enough time for a quick snack.
這本書是匆匆忙忙地寫的，所以有很多謬誤。	Having been written in haste, the book has a lot of errors.
欲速則不達。	Haste makes waste.
宮崎不是它往日的樣子了。	Miyazaki is not what it used to be.
假期過得開心嗎？	Did you enjoy your holiday?
假期里，我度过了悠闲的日子。	I spent idle days during the vacation.
假期快要结束了。	The vacation is close to an end.
你想好放假去哪裏玩了沒有？	Have you made up your mind where to go for the holidays?
去度假的时候我要租辆车。	When I go on vacation, I'll rent a car.
你放假打算去甚麼地方玩呢？	Where are you going to go on your vacation?
小山后面有个美丽的山谷。	A beautiful valley lies behind the hill.
我步進咖啡室，見到兩個年輕人正在電視上看摔角比賽。	As I entered the café, I found two young men watching a wrestling match on television.
吸煙的人患上肺癌的風險比不吸煙的人高得多。	Smokers are far more likely to develop lung cancer than non-smokers are.
吸煙的人請病假的日數比不吸煙的人多兩倍。	Smokers take twice as many days off sick as non-smokers.
吸煙會影響我們的健康。	Smoking affects our health.
菊花很香。	Chrysanthemums smell sweet.
通常女人都是最後發言有決定權的。	Women will have the last word.
讓我們繼續進行議程上的項目。	Let's proceed with the items on the agenda.
你不能漠視你的責任。	You are not to neglect your duty.
上司不在，部下就輕鬆自在。	When the cat is away, the mice will play.
光看表面是不足夠的。	All that glitters is not gold.
覆水難收。	What is done cannot be undone.
不論發生了什麼事，我會永遠愛你。	I'll always love you, no matter what happens.
你沒聽到她說法語嗎？	Didn't you hear her speaking French?
妇人叹了口气。	Sighed the young woman.
多運動有益健康。	Regular exercise is beneficial to good health.
汽笛声响起，船开始慢慢地驶离港口。	A whistle blew, and the boat slowly began to pull out of port.
船和火车哪个跑得快？	Which goes faster, a ship or a train?
我保證火車會準時來。	The train will arrive on time without fail.
火車開出的時候，他們都揮手向父母道別。	They waved good-bye to their parents as the train pulled out.
你必須有耐心。	You have to be patient.
你覺得氣候會不會影響人的性格呢？	Do you think our climate has an influence on our character?
讓我們放輕鬆吧。	Let's take it easy.
零度以下的氣溫持續了好幾天。	The temperature has been below freezing for several days.
低温使水变成冰。	Low temperatures turn water into ice.
小心！在那裡有一個大洞。	Watch out! There's a big hole there.
看著眼前淒涼的景象，我們不禁流下了淚來。	The pitiful sight moved us to tears.
懦夫難贏美女心。	Faint heart never won fair lady.
不必在意。	Forget it.
你不介意的路上捡东西回来？	Would you mind picking up something on the way back?
你回家途中順道來看看我吧。	Please drop in at my house on your way home.
这将会是巨大的，如果你可以挑选一些面包，然后再回家。	It'd be great if you could pick up some bread before you come home.
飛機開始震動的時候，乘客們都緊張了起來。	Passengers became nervous when the plane began to vibrate.
快要考期末試了，所以我很忙。	I'm busy because the finals are drawing on.
奇怪的是，誰也沒有投那候選人一票。	Strange to say, no one voted for the candidate.
说来奇怪，他不知道这个消息。	Strange to say, he didn't know the news.
魔术师吸引了孩子们的注意。	The magician had the children's attention.
我高興得跳了起來。	I jumped for joy.
遇難求上帝，過後全忘記。	The danger past and God forgotten.
不要冒险。	Don't run risks.
我差一点淹死。	I came near to being drowned.
企业第一季度收益大幅增长。	Corporate earnings in the first quarter improved sharply.
岩石經過風化後，形成了各種奇特的形狀。	The rocks are weathered into fantastic forms.
韓國菜一般都很辣。	Korean food is generally very spicy.
不要笑他犯了错误。	Don't laugh at him for making a mistake.
請把錯誤改正過來，然後把文件夾還給 Luxemburg 先生。	Correct the mistake and return the file to Mr Luxemburg.
人皆有錯，唯聖者能恕。	To err is human, to forgive divine.
很快地我們的派對就要準備完成了。	We will soon be ready for the party.
近年的遊客數量大幅增加。	The number of tourists has increased greatly in recent years.
觀光巴士穿過了一條長長的隧道。	The sightseeing bus ran through a long tunnel.
由於是用簡單的英語所寫的，這本書很容易閱讀。	As it is written in simple English, this book is easy to read.
護士用溫度計量了量他的體溫。	The nurse took his temperature with a thermometer.
請遵循護士的指導。	Please follow the nurse's direction.
你曾經想過當個護士嗎?	Have you ever thought of becoming a nurse?
環境污染正造成異常的天氣情況。	Environmental pollution is causing abnormal weather conditions.
我們應該盡力不要污染環境。	We ought to do our best not to pollute our environment.
我正流着汗。	I'm dripping with sweat.
我不知道如何表達我的謝意。	I don't know how to express my thanks.
病人逐漸康復了。	The patient got better little by little.
流利的英語是必須的。	Fluency in English is a must.
請結帳。	Check, please.
将费用记在我的账上。	Charge this bill to me.
溫度計上的溫度跌到了零度以下。	The thermometer went down below zero.
我覺得在寒冷的早晨很難早起。	I find it hard to get up early on cold mornings.
干杯！	Bottoms up!
股票價格跌至歷史新低。	Stock prices plunged to a record low.
老鷹不會去抓蒼蠅。	The eagle does not catch flies.
否極泰來。	After a storm comes a calm.
玩得開心。	Have fun.
幾乎所有的學生喜歡英語。	Almost all the students like English.
學生們把老師說的話一字不漏地記了下來。	The students noted down every word the teacher said.
据一些学者称，现在可能随时发生一场特大地震。	According to some scholars, a major earthquake could occur at any moment now.
學校在四月十日開學。	School begins on April the tenth.
學校坐落於距離車站步行五分鐘的地方。	The school is located within five minutes' walk of the station.
只是校服过时了。	School uniforms are just out of fashion.
我打算加入學校的管弦樂團。	I'm going to join the school orchestra.
上學遲到的學生人數比我想像中少很多。	The number of students who were late for school was much smaller than I had expected.
我學校離我家只是幾步路的路程。	I live within walking distance of school.
革命之後，法國成為了一個共和國。	After the revolution, France became a republic.
在轉角有一家酒吧。	There's a pub just around the corner.
不值得去記。	Not worth the remembered value.
溫迪的確是在海邊長大的，但是她卻不太會游泳。	It is true Wendy grew up at the seaside, but she isn't a good swimmer.
請回到你們各自的座位。	Go to your respective seats.
不同的國家有不同的習俗。	Each country has its own customs.
每個機器人身上都安裝了一台發聲器。	Each robot is equipped with a talking machine.
如水流過鴨背般毫無反應。	Like water off a duck's back.
城裡有一家古老的電影院。	There's an old movie theater in town.
我們去市區吃飯，然後再看場電影吧。	Let's have lunch downtown and take in a show.
总体上说，日本的气候温和。	Generally speaking, the climate of Japan is mild.
美國人一般都很喜歡喝咖啡。	Generally speaking, Americans are very fond of coffee.
男人一般都比女人強壯。	Generally speaking, men are stronger than women.
把它保存在外接式硬碟。	Save it on the external hard drive.
講外語是不容易的。	Speaking foreign languages is not easy.
學習外語是困難的。	Learning a foreign language is difficult.
学外语很有意思。	Learning a foreign language is fun.
學外語要花好幾年的時間才能學得精通。	It takes years to master a foreign language.
你出國看看，才會知道日本是多麼的細小。	It is not until you go abroad that you realize how small Japan is.
到外國一定很貴。	Visiting a foreign country must be expensive.
學習外國文化是件有趣的事。	It's fun to learn about foreign cultures.
我一出門就開始下雨了。	No sooner had I gone out than it began to rain.
开业庆典酬宾。	Grand opening sale.
我沒有絲毫的想法。	I don't have the slightest idea.
他們不理眾人的反對結了婚。	Everyone opposed it, but they got married all the same.
大家好嗎？	How is everyone?
