我們試試看！	我們 試試看 ！
然而，相反的理论往往也是真的。	然而 ， 相反 的 理论 往往 也是 真的 。
我们看东西不是看其实质，而是以我们的主观意识看它们的。	我们 看 东西 不是 看 其实 质 ， 而 是以 我们 的 主观 意识 看 它们 的 。
世界就是一个疯子的囚笼。	世界 就是 一个 疯子 的 囚笼 。
我叫Jack。	我 叫 Jack 。
从来就没有徒劳的爱情。	从来 就 没有 徒劳 的 爱情 。
生活就是當你忙著進行你的計劃時總有其他的事情發生。	生活 就是 當 你 忙著 進行 你的 計劃 時 總有 其他 的 事情 發生 。
没有欲望就等于拥有。	没有 欲望 就 等于 拥有 。
聖誕節快樂！	聖誕節 快樂 ！
罗马不是一天建成的。	罗马 不是 一天 建成 的 。
你是从哪个国家来的？	你是 从 哪个 国家 来的 ？
我每年7月4号都会来这里。	我 每年 7 月 4 号 都会 来这 里 。
你想去美國讀書的話，一定要先申請一張學生簽證。	你 想去 美國 讀書 的話 ， 一定 要 先 申請 一張 學生 簽 證 。
请给我看看您的护照。	请 给 我 看看 您的 护照 。
我們常常把人生比作一場旅程。	我們 常常 把 人生 比作 一場 旅程 。
据说日本人对他们认识的人非常友好，对不认识的人非常冷淡。	据说 日本人 对 他们 认识 的 人非 常 友好 ， 对不 认识 的 人非 常 冷淡 。
整晚一會下雨，一會停雨。	整 晚 一會 下雨 ， 一會 停 雨 。
這是個無可否認的事實。	這 是 個 無可否認 的 事實 。
這個故事是根據真人真事寫成的。	這個 故事 是 根據 真人真事 寫成 的 。
灯里的油用完了。	灯 里 的 油 用完 了 。
我已经看过这部电影了。	我 已经 看过 这部 电影 了 。
在埃及说什么语言？	在 埃及 说 什么 语言 ？
许多人在战争期间被杀了。	许多人 在 战争 期间 被 杀 了 。
我们多加一点盐？	我们 多加 一点 盐 ？
我去飞机场为他送行了。	我 去 飞机场 为 他 送行 了 。
为什么今天火车站没有出租车？	为什么 今天 火车站 没有 出租车 ？
千里之行，始于足下。	千里之行 ， 始于足下 。
我很想能够穿上一条像这样的裙子。但为此，我必须变得更瘦。	我 很想 能够 穿上 一条 像这样 的 裙子 。 但 为此 ， 我 必须 变得 更 瘦 。
你们想不想知道我的秘密？它很简单。。。	你们 想 不想 知道 我的 秘密 ？ 它 很 简单 。 。 。
他以为他们渴望荣耀。	他 以为 他们 渴望 荣耀 。
学游泳非常简单。	学 游泳 非常 简单 。
地铁在地下通行。	地铁 在地下 通行 。
我祖父有部分印度血统。	我 祖父 有 部分 印度 血统 。
我们接受电话预定。	我们 接受 电话 预定 。
我从来没有相信过战争是好的。	我 从来没有 相信 过 战争 是 好的 。
她刚结束，就躺下打了个盹儿。	她 刚 结束 ， 就 躺下 打了 个 盹儿 。
她跟我说八月份她会去巴黎。	她 跟 我 说 八月份 她 会 去 巴黎 。
他喜欢偶尔去海边。	他 喜欢 偶尔 去 海边 。
我偶尔会在俱乐部碰到他。	我 偶尔 会在 俱乐部 碰到 他 。
城市位于日本的最北端。	城市 位于 日本 的 最北 端 。
他仍然时不时来看我。	他 仍然 时不时 来看 我 。
他的房间一片狼藉。	他的 房间 一片 狼藉 。
我会出席会议的。	我 会 出席会议 的 。
干杯！	干杯 ！
他又学法语，又学怎么做网站。	他 又 学法 语 ， 又 学 怎么 做 网 站 。
他花了一大笔钱来帮助穷人。	他 花了 一大 笔 钱 来 帮助 穷人 。
火车不间断直达名古屋。	火车 不间断 直达 名古屋 。
坐在桌子的另一头是谁？	坐在 桌子 的 另一 头 是 谁 ？
老实说，他被炒了。	老实说 ， 他 被 炒 了 。
男女搭配，干活不累。	男女 搭配 ， 干活 不累 。
我得推我的自行车，因为有个轮胎漏气了。	我 得 推 我的 自行车 ， 因为 有个 轮胎 漏气 了 。
票一周内就卖完了。	票 一周 内 就 卖完 了 。
這首詩是不是莎士比亞寫的，恐怕是無從考究的了。	這 首 詩 是不是 莎士比亞 寫的 ， 恐怕 是 無從 考究 的 了 。
那時我每天都走路上學。	那時 我 每天 都 走路 上學 。
我去參加舞會，母親就幫忙照顧嬰兒。	我 去 參加 舞會 ， 母親 就 幫忙 照顧 嬰兒 。
我突然想到他可能是個商業間諜。	我 突然 想到 他 可能 是 個 商業 間諜 。
他怕會下雨，所以就把窗關上了。	他 怕 會 下雨 ， 所以 就 把 窗 關上 了 。
在墨西哥，有很多平民窟。	在 墨西哥 ， 有 很多 平民 窟 。
这间房间朝向很好。	这间 房间 朝向 很好 。
我必須向 Ann 道歉。	我 必須 向 Ann 道歉 。
我打电话给你，一方面是想请你吃饭，另一方面是想告诉你我儿子要结婚了。	我 打电话 给 你 ， 一方面 是 想 请你 吃饭 ， 另一方面 是 想 告诉 你我 儿子 要 结婚 了 。
他编造了一个借口。	他 编造 了 一个 借口 。
我打电话给你，一来是想请你吃饭，二来是想告诉你我儿子要结婚了。	我 打电话 给 你 ， 一来 是 想 请你 吃饭 ， 二来 是 想 告诉 你我 儿子 要 结婚 了 。
他不知道該怎麼做，於是便找我幫忙。	他 不知道 該 怎麼 做 ， 於是 便 找我 幫忙 。
這是通往大海的通道。	這 是 通往 大海 的 通道 。
必須為最壞的情況作好準備。	必須 為最 壞的 情況 作好 準 備 。
我們是老朋友。	我們 是 老朋友 。
您昨天在哪儿？	您 昨天 在哪 儿 ？
你知不知道他们是谁?	你 知不 知道 他们 是 谁 ?
你骗人！	你 骗人 ！
他也会说法语。	他 也 会 说法 语 。
我会说法语。	我 会 说法 语 。
我收到了请帖。	我 收到 了 请帖 。
你住在哪里？	你 住在 哪里 ？
你记不记得我们认识的那一天？	你 记 不 记得 我们 认识 的 那一 天 ？
他住在这里吗？	他 住在 这里 吗 ？
火车站离这里不远。	火车站 离 这里 不远 。
火车站在哪里?	火车站 在哪里 ?
正在下雹。	正在 下 雹 。
我爱你。	我 爱 你 。
我亲眼见到了它。	我 亲眼 见到 了 它 。
我一直等到了最后一分钟。	我 一直 等到 了 最后 一分钟 。
那不勒斯是一個風景如畫的城市。	那 不 勒斯 是 一個 風景如畫 的 城市 。
你想好放假去哪裏玩了沒有？	你 想好 放假 去 哪 裏 玩 了 沒有 ？
请吃点菜。	请 吃点 菜 。
我喜欢旅行。	我 喜欢 旅行 。
我很期待去旅游.	我 很 期待 去 旅游 .
我在旅行社工作.	我 在 旅行社 工作 .
我跟父母住在一起.	我 跟 父母 住在 一起 .
他没有孩子.	他 没有 孩子 .
他既诚实又勤劳，而他的弟弟正好相反。	他 既 诚实 又 勤劳 ， 而 他的 弟弟 正好 相反 。
我爱您。	我 爱 您 。
可惜。	可惜 。
我們把門塗成了綠色。	我們 把門 塗 成了 綠色 。
为什么您想到外国读书？	为什么 您 想到 外国 读书 ？
您可以走了。	您 可以 走了 。
我要个会说法语的人。	我 要 个 会 说法 语 的 人 。
喝杯紅茶嗎？	喝 杯 紅茶 嗎 ？
父親不喝烈酒。	父親 不喝 烈酒 。
她拒絕了他的邀請。	她 拒絕 了 他的 邀請 。
今天没有任何下雨的可能性。	今天 没有 任何 下雨 的 可能性 。
他不信教。	他 不信 教 。
对了，你作什么工作？	对了 ， 你 作 什么 工作 ？
她有心臟病。	她 有心 臟 病 。
委員會應該把注意力集中在更具體的問題上。	委員會 應該 把 注意力 集中 在 更具 體 的 問題 上 。
“到维也纳步行要多久？”　“对不起，我是外地人."	“ 到 维也纳 步行 要多 久 ？ ” 　 “ 对不起 ， 我 是 外地人 . "
我在吃个苹果。	我 在 吃 个 苹果 。
来嘛！给我个机会。	来 嘛 ！ 给 我 个 机会 。
这孩子说话就好像他是个大人。	这 孩子 说话 就 好像 他 是 个 大人 。
他可以做。	他 可以 做 。
这是我第一次看牙医。	这 是 我 第一次 看 牙医 。
你可以看看差几度能有什么区别。	你 可以 看看 差 几度 能有 什么 区别 。
我迷路了，能不能请您帮我一下？	我 迷路 了 ， 能不能 请您 帮我 一下 ？
威斯特夫人正在忙碌地準備早餐。	威 斯特 夫人 正在 忙碌 地 準 備 早餐 。
他进来了，眼里闪着光。	他 进来 了 ， 眼里 闪 着 光 。
好问题。	好问 题 。
今晚下倾盆大雨。	今晚 下倾 盆 大雨 。
我没有参与对话。	我 没有 参与 对话 。
有一天，警方突擊搜捕了一個娼妓集團，而她正是被捕的人的其中一個。	有一天 ， 警方 突擊 搜捕 了 一個 娼妓 集團 ， 而 她 正是 被捕 的 人 的 其中 一個 。
外国人是很好玩儿。	外国人 是 很好 玩儿 。
如果我用简体中文输入“什么”，我希望找到的结果里也有“甚麼”。	如果 我 用 简体 中文 输入 “ 什么 ” ， 我 希望 找到 的 结果 里 也 有 “ 甚麼 ” 。
年輕人通常都是充滿活力的。	年輕人 通常 都 是 充滿活力 的 。
当我听到这个消息时，我想哭。	当 我 听到 这个 消息 时 ， 我 想 哭 。
去度假的时候我要租辆车。	去 度假 的时候 我 要 租 辆车 。
我不知道該怎麼答他。	我 不知道 該 怎麼 答 他 。
简懂日语。	简 懂 日语 。
这只不过是懒惰的一个借口。	这 只不过是 懒惰 的 一个 借口 。
我想我会很忙，而且直到考试后才有时间。	我 想我 会 很忙 ， 而且 直到 考试 后 才 有时 间 。
这个电影院有两层。	这个 电影院 有两 层 。
我們今天不用上學。	我們 今天 不用 上學 。
我很喜歡吃西瓜。	我 很 喜歡 吃 西瓜 。
关于教育，他持极端意见。	关于 教育 ， 他 持 极端 意见 。
他新近皈依的天主教徒。	他 新近 皈依 的 天主教 徒 。
他的領帶和西裝很配。	他的 領帶 和 西裝 很 配 。
我不會像他那樣，在你需要的時候離開你。	我 不會 像 他 那樣 ， 在 你 需要 的時候 離開 你 。
我刚一离开商店，就碰到了我的老师。	我 刚一 离开 商店 ， 就 碰到 了 我的 老师 。
我们全都可以相信。	我们 全都 可以 相信 。
什么？	什么 ？
她自言自語地說：「我接著該到哪兒去呢？」	她 自言自語 地說 ： 「 我 接著 該到 哪兒 去 呢 ？ 」
一個無法避免的不幸。	一個 無法 避免 的 不幸 。
我有三个行李。	我 有 三个 行李 。
他跟着入室抢劫者。	他 跟着 入 室 抢劫 者 。
对不起，我要在下一站下。	对不起 ， 我 要 在下 一 站下 。
他喜欢独自散步。	他 喜欢 独自 散步 。
他的思考方法有点极端。	他的 思考 方法 有点 极端 。
当我们进入黑暗的隧道时，我们根本什么都看不见。	当 我们 进入 黑暗 的 隧道 时 ， 我们 根本 什么 都看 不见 。
我約了他六點鐘見面。	我 約 了 他 六點 鐘 見面 。
这是我的妈妈.	这 是 我的 妈妈 .
以后再讲.	以后 再讲 .
我真的不知道.	我 真的 不知道 .
人人都愿意相信美梦可以成真。	人人 都 愿意 相信 美梦 可以 成真 。
十分感谢。	十分 感谢 。
我跟父母联络了一下。	我 跟 父母 联络 了 一下 。
我跟父母讲了留学的事情。	我 跟 父母 讲了 留学 的 事情 。
我把旅费耗光了。	我 把 旅费 耗光 了 。
我在旅行中用了地图。	我 在 旅行 中用 了 地图 。
我不够钱去旅行。	我 不够 钱 去 旅行 。
他喜欢旅行. 我也是.	他 喜欢 旅行 . 我 也是 .
今天是几月几号？	今天 是 几 月 几号 ？
我收到了一张请帖。	我 收到 了 一张 请帖 。
她半年后就要出国了。	她 半年 后 就 要 出国 了 。
很少人这么认为。	很少 人 这么 认为 。
这周我一直在工作。	这 周 我 一直 在 工作 。
我和她外出了几个月。	我 和 她 外出 了 几个月 。
明天下午之前我将把它完成。	明天 下午 之前 我 将 把 它 完成 。
自己动手真好。	自己 动手 真好 。
那个发现纯属偶然。	那个 发现 纯属偶然 。
在英国的时候，我经常看参考书。	在 英国 的时候 ， 我 经常 看 参考书 。
我弟弟会经常彻夜不睡。	我 弟弟 会 经常 彻夜 不睡 。
你不得不制造一些借口。	你 不得不 制造 一些 借口 。
她可能出什么事了。	她 可能 出 什么 事 了 。
你参加社团活动吗？	你 参加 社团 活动 吗 ？
我找到那把我一直在找的钥匙了。	我 找到 那 把 我 一直 在 找 的 钥匙 了 。
我丢了我的伞。	我 丢了 我的 伞 。
她是他的一切。	她 是 他的 一切 。
接电话。	接 电话 。
我在报纸上看到了它。	我 在 报纸 上看 到了 它 。
请把它充入我的账户。	请 把 它 充 入 我的 账户 。
雨不停，我们不会出去。	雨 不停 ， 我们 不会 出去 。
这和我那本是同一本书。	这 和 我 那 本 是 同一 本书 。
他们是热爱和平的人。	他们 是 热爱 和平 的 人 。
我觉得你说的是真的。	我 觉得 你说 的 是 真的 。
可以原谅我吗？	可以 原谅 我 吗 ？
我们没机会赢那些一流选手。	我们 没 机会 赢 那些 一流 选手 。
他发誓要戒烟。	他 发誓 要 戒烟 。
在明天前完成报告几乎是不可能的。	在 明天 前 完成 报告 几乎 是 不可能 的 。
他昨天看了一部最有趣的小说。	他 昨天 看了 一部 最有 趣 的 小说 。
如果可能的话，我想环游世界。	如果 可能 的话 ， 我 想 环游 世界 。
我是网球俱乐部的会员。	我 是 网球 俱乐部 的 会员 。
医生，请给这孩子急救。	医生 ， 请 给 这 孩子 急救 。
据说山上的天气变化很快。	据说 山上 的 天气 变化 很快 。
他后悔在校时没用功读书。	他 后悔 在校 时 没用 功 读书 。
我可以用支票付吗？	我 可以 用 支票 付 吗 ？
如果他年轻一点，他将很适合这个职位。	如果 他 年轻 一点 ， 他 将 很 适合 这个 职位 。
他给我的工作作出了明确指示。	他 给 我的 工作 作出了 明确 指示 。
他向权力屈服。	他 向 权力 屈服 。
是在昨天Jake打破了这扇窗。	是 在 昨天 Jake打破了这扇窗 。
今天糟糕透了，所以我准备去喝一杯就直接上床。	今天 糟糕 透了 ， 所以 我 准备 去 喝 一杯 就 直接 上床 。
如果没有你，这个世界很孤单。	如果 没有 你 ， 这个 世界 很 孤单 。
我觉得这个网站的构思非常好。	我 觉得 这个 网 站的 构思 非常好 。
我觉得这个网的概念非常好。	我 觉得 这个 网 的 概念 非常好 。
啊，我认识这个男人！	啊 ， 我 认识 这个 男人 ！
待在那儿别动。	待在 那儿 别动 。
沿着这条路直走，到第三个红绿灯的地方右转。	沿着 这条 路 直走 ， 到 第三 个 红绿灯 的 地方 右 转 。
他正坐在会议室。	他 正 坐在 会议室 。
等她回来的时候问问她。	等 她 回来 的时候 问问 她 。
他说得很大声。	他 说得 很大 声 。
差不多两周John的病才好了。	差不多 两周 John的病才好了 。
我们必须设法打破这个僵局。	我们 必须 设法 打破 这个 僵局 。
十年后，我们的城市将改变许多。	十年 后 ， 我们 的 城市 将 改变 许多 。
你咖啡喝得太多了。	你 咖啡 喝 得 太多 了 。
我有好几打呢。	我 有好 几 打 呢 。
我无法想象另一个星球上的生物。	我 无法 想象 另一个 星球 上 的 生物 。
温度计往往低于零度。	温度计 往往 低于 零度 。
要完成实验，三个月太短了。	要 完成 实验 ， 三个月 太短 了 。
“这些车是你的吗？”“是的，是我的。”	“ 这些 车 是 你的 吗 ？ ” “ 是的 ， 是 我的 。 ”
我叔叔住在学校附近。	我 叔叔 住在 学校 附近 。
去踢足球吧。	去 踢足球 吧 。
合同已经到手了，那就出去庆祝一下吧。	合同 已经 到手 了 ， 那 就 出去 庆祝 一下 吧 。
我难以用言语表达我的感情。	我 难以 用 言语 表达 我的 感情 。
我无法治愈心碎。	我 无法 治愈 心碎 。
猫抓住了老鼠。	猫 抓住 了 老鼠 。
直到那时，他才意识到他已经上当受骗。	直到 那时 ， 他 才 意识到 他 已经 上当受骗 。
他的医生建议他戒烟。	他的 医生 建议 他 戒烟 。
我爸爸很忙。	我爸 爸 很忙 。
他用了一些手段来和Nancy私下交谈。	他 用了 一些 手段 来 和 Nancy私下交谈 。
把这些座位留给老人。	把 这些 座位 留给 老人 。
我无法取代她做英语老师。	我 无法 取代 她 做 英语 老师 。
他们粗心大意，还没意识到危险。	他们 粗心大意 ， 还没 意识到 危险 。
她挥着她的手，直到火车消失在视线之外。	她 挥 着 她的 手 ， 直到 火车 消失 在 视线 之外 。
当她发现他们还没有学校，她就办了一个。	当她 发现 他们 还没有 学校 ， 她 就 办 了 一个 。
谢谢你的答复。	谢谢你 的 答复 。
Jack买不起新自行车。	Jack买不起新自行车 。
和平之路。	和平 之路 。
他寻找一切可能的逃生途径。	他 寻找 一切 可能 的 逃生 途径 。
对严格限制经济的批评蜂拥而来。	对 严格 限制 经济 的 批评 蜂拥而来 。
这药创造了奇迹。	这 药 创造 了 奇迹 。
你最好打消这么可笑的念头。	你 最好 打消 这么 可笑 的 念头 。
我看见一个长头发的女生。	我 看见 一个 长 头发 的 女生 。
外交谈判帮助结束了冲突。	外交 谈判 帮助 结束 了 冲突 。
我发现了我爸爸收藏了30年的报纸。	我 发现 了 我爸 爸 收藏 了 30 年 的 报纸 。
如何克服日元升高是个大问题。	如何 克服 日元 升高 是 个 大问题 。
你想走的时候就走吧。	你 想 走的 时候 就走 吧 。
他们在画展上授予了她一等奖。	他们 在 画展 上 授予 了 她 一等奖 。
你可以骑上我的摩托车去遛一圈。	你 可以骑 上 我的 摩托车 去 遛 一圈 。
他给我们讲了一个有趣的故事，我们都笑了起来。	他 给 我们 讲了 一个 有趣 的 故事 ， 我们 都 笑了 起来 。
如何料理黑鲷：做刺身是最好吃的。	如何 料理 黑 鲷 ： 做 刺 身 是 最好 吃 的 。
让我们来澄清一下这个问题。	让我 们 来 澄清 一下 这个 问题 。
别忘了在你的信上贴张邮票。	别 忘了 在 你的 信上 贴 张 邮票 。
我的生意终于走上了正轨。	我的 生意 终于 走上 了 正轨 。
如果你需要笔的话，我借你一支。	如果 你 需要 笔 的话 ， 我 借 你 一支 。
我要回房间了，在那儿我可以学习。	我 要回 房间 了 ， 在 那儿 我 可以 学习 。
照这样的情况，很抱歉，我不能接受你的盛情邀请。	照 这样 的 情况 ， 很 抱歉 ， 我 不能 接受 你的 盛情 邀请 。
在一天之内完成它几乎是不可能的。	在 一天 之内 完成 它 几乎 是 不可能 的 。
接下来该采取什么行动就交给你了。	接下来 该 采取 什么 行动 就 交给 你 了 。
老师给我们布置了家庭作业。	老师 给 我们 布置 了 家庭 作业 。
我们看着这孩子玩耍。	我们 看着 这 孩子 玩耍 。
你开始学习英语了吗？	你 开始 学习 英语 了 吗 ？
它们是瓜。	它们 是 瓜 。
你走了，我们都会想你的。	你 走了 ， 我们 都会 想 你的 。
电视的优点在于它给体育爱好者提供了更大的方便。	电视 的 优点 在于 它 给 体育爱好者 提供 了 更大 的 方便 。
我没有拜访他，因为我感冒了。	我 没有 拜访 他 ， 因为 我 感冒 了 。
乘公交车费时。	乘 公交车 费时 。
由于火车延误，我迟到了。	由于 火车 延误 ， 我 迟到 了 。
他还没来。他肯定错过公交车了。	他 还没 来 。 他 肯定 错过 公交车 了 。
这种款式的帽子现在很流行。	这种 款式 的 帽子 现在 很 流行 。
其他的一切都好。	其他 的 一切 都好 。
你可以想象在月球上行走吗？	你 可以 想象 在 月球 上行 走 吗 ？
你会溜冰吗？	你 会 溜冰 吗 ？
他有可能赢得比赛。	他 有可能 赢得 比赛 。
这件事至关重要。	这件 事 至关重要 。
不要拉我的腿！	不要 拉 我的 腿 ！
我无法相信自己的眼睛。	我 无法 相信 自己的 眼睛 。
我去听他的演讲去晚了。	我 去 听 他的 演讲 去 晚了 。
你考虑周到，没有打扰我们。	你 考虑周到 ， 没有 打扰 我们 。
这件事他铭记于心。	这件 事 他 铭记 于心 。
这本书对你来说读起来太难了。	这本 书 对 你 来说 读 起来 太难 了 。
我什么都不想喝。	我 什么 都不 想 喝 。
一块岩石从上面落下。	一块 岩石 从上 面 落下 。
我头痛。	我 头痛 。
布什继里根之后当上了总统。	布什 继 里根 之后 当上 了 总统 。
他的努力没有成果。	他的 努力 没有 成果 。
今天刮冷风。	今天 刮 冷风 。
你在撒谎。	你 在 撒谎 。
自助者天助。	自助 者 天 助 。
和你的车比起来，我的车很小。	和 你的 车 比起 来 ， 我的 车 很小 。
他很年轻，更重要的是，他很帅。	他 很 年轻 ， 更重 要的 是 ， 他 很帅 。
和她争辩是没用的。	和 她 争辩 是 没用 的 。
太可惜了！	太 可惜 了 ！
听到她成功的消息，他很高兴。	听到 她 成功 的 消息 ， 他 很高兴 。
男孩们窃窃私语，我知道他们准备做些什么。	男孩 们 窃窃私语 ， 我 知道 他们 准备 做些 什么 。
我要预订一间6月3日的单人房。	我 要 预订 一间 6 月 3 日 的 单人 房 。
请帮我找一下我的钱包。	请 帮我 找 一下 我的 钱包 。
她给我讲了一个有趣的故事。	她 给 我 讲了 一个 有趣 的 故事 。
他登上了前往洛杉矶的飞机。	他 登上 了 前往 洛杉矶 的 飞机 。
什么时候开始？	什么时候 开始 ？
他儿子小时候就死于癌症了。	他 儿子 小时候 就 死于 癌症 了 。
这本书有精美的插图。	这本 书 有 精美 的 插图 。
她和她妹妹一样亲切。	她 和 她 妹妹 一样 亲切 。
随着时间的推移，比赛增加了规则以使之更安全。	随着 时间 的 推移 ， 比赛 增加 了 规则 以使 之 更 安全 。
他看上去是一个十足的绅士。	他 看上去是 一个 十足 的 绅士 。
金子比水重得多。	金子 比 水 重得 多 。
我们的任务到目前为止很轻松，但从现在开始将会变得很难。	我们 的 任务 到目前为止 很轻 松 ， 但 从现在开始 将会 变得 很难 。
你自己拿蛋糕吃吧。	你自己 拿 蛋糕 吃吧 。
他给我讲述了他的一生。	他 给 我 讲述 了 他的 一生 。
事故耽误了我们半小时。	事故 耽误 了 我们 半小时 。
这种秘密总有一天会被揭露的。	这种 秘密 总有 一天 会被 揭露 的 。
我没什么可依靠的了。	我 没什么 可依 靠的 了 。
我做完我的功课后，就读这本书。	我 做完 我的 功课 后 ， 就读 这本 书 。
能不能麻烦你告诉我去邻村怎么走？	能不能 麻烦 你 告诉 我 去 邻村 怎么 走 ？
她住在罗素广场56号。	她 住在 罗素 广场 56 号 。
我们有很多听众。	我们 有 很多 听众 。
请写信告诉我你们学校的情况。	请 写信 告诉 我 你们 学校 的 情况 。
看见新鲜龙虾，我有了食欲。	看见 新鲜 龙虾 ， 我 有了 食欲 。
最后三周，Jim一直试图带我出去吃饭。	最后 三 周 ， Jim一直试图带我出去吃饭 。
这狗跑得多快啊！	这 狗 跑得 多快 啊 ！
你上班迟到了。	你 上班 迟到 了 。
护士会告诉你怎么做。	护士 会 告诉 你 怎么 做 。
不要相信一个你一点都不了解他过去的人。	不要 相信 一个 你 一点 都不 了解 他 过去 的 人 。
下周我去温哥华看我妹妹。	下周 我 去 温哥华 看 我 妹妹 。
罗杰斯先生和史密斯小姐昨天宣布订婚。	罗杰斯 先生 和 史 密斯 小姐 昨天 宣布 订婚 。
你多久后需要它？	你多 久 后 需要 它 ？
诚信是一种重要的美德。	诚信 是 一种 重要的 美德 。
鲍勃第一个到达终点线。	鲍 勃 第一个 到达 终点 线 。
这是我见过最美的景色了。	这 是 我 见过 最 美的 景色 了 。
科学和数学我都喜欢。	科学 和数 学 我 都 喜欢 。
我们的计划从一开始就出错了。	我们 的 计划 从 一 开始 就 出错 了 。
她不喜欢我说话的方式。	她 不喜欢 我 说话 的 方式 。
他请求她给予优待。	他 请求 她 给予 优待 。
请问你能递我一下盐吗？	请问 你能 递 我 一下 盐 吗 ？
他熟睡着。	他 熟睡 着 。
那个时候我呆在家中会比出去更好。	那个 时候 我 呆在家 中会 比 出去 更好 。
你不这么认为吗？	你 不 这么 认为 吗 ？
Tom否认偷了钱。	Tom否认偷了钱 。
我想减肥。	我 想 减肥 。
我听到这个消息很吃惊。	我 听到 这个 消息 很 吃惊 。
她一直和她的兄弟争吵。	她 一直 和 她的 兄弟 争吵 。
只有为数不多的几个电视节目值得关注。	只有 为数不多 的 几个 电视 节目 值得 关注 。
我不明白为什么你这么批评他。	我 不明 白 为什么 你 这么 批评 他 。
你想再来杯酒吗？	你 想 再来 杯 酒 吗 ？
他努力工作。	他 努力 工作 。
自由是有代价的。	自由 是 有代 价 的 。
几分钟后，电话响了。	几分 钟 后 ， 电话 响了 。
月球是地球唯一的卫星。	月球 是 地球 唯一 的 卫星 。
他和他的姐妹们目前都住在东京。	他 和 他的 姐妹 们 目前 都 住在 东京 。
孩子们洗了他们的脚。	孩子们 洗 了 他们的 脚 。
我的计划是参观苏格兰的古堡。	我的 计划 是 参观 苏格兰 的 古堡 。
